,Scores,mean_test_score,std_test_score,sem_test_score,params,round,ranked,roc_auc,accuracy,balanced_accuracy,recall,precision,f1,matthews_corrcoef,Estimator,Training Method,Dataset,Features
0,0.1581138830084189,0.5644295932107659,0.1885946907920648,0.0188594690792064,,bootstrap,1,0.5714285714285714,0.4761904761904761,0.5714285714285714,0.2857142857142857,0.8,0.4210526315789473,0.1581138830084189,ElasticNet,validation_score,data/gastric_cancer.csv,"['M8', 'M18', 'M32']"
1,0.3429971702850177,0.5644295932107659,0.1885946907920648,0.0188594690792064,,bootstrap,1,0.6428571428571428,0.5238095238095238,0.6428571428571428,1.0,0.4117647058823529,0.5833333333333334,0.3429971702850177,ElasticNet,validation_score,data/gastric_cancer.csv,"['M8', 'M18', 'M32']"
2,0.6330541649476573,0.5644295932107659,0.1885946907920648,0.0188594690792064,,bootstrap,1,0.8194444444444444,0.8095238095238095,0.8194444444444444,0.8888888888888888,0.7272727272727273,0.8,0.6330541649476573,ElasticNet,validation_score,data/gastric_cancer.csv,"['M8', 'M18', 'M32']"
3,0.7181818181818181,0.5644295932107659,0.1885946907920648,0.0188594690792064,,bootstrap,1,0.859090909090909,0.8571428571428571,0.8590909090909091,0.9,0.8181818181818182,0.8571428571428571,0.7181818181818181,ElasticNet,validation_score,data/gastric_cancer.csv,"['M8', 'M18', 'M32']"
4,0.5547001962252291,0.5644295932107659,0.1885946907920648,0.0188594690792064,,bootstrap,1,0.7692307692307692,0.7142857142857143,0.7692307692307692,0.5384615384615384,1.0,0.7,0.5547001962252291,ElasticNet,validation_score,data/gastric_cancer.csv,"['M8', 'M18', 'M32']"
5,0.3466876226407682,0.5644295932107659,0.1885946907920648,0.0188594690792064,,bootstrap,1,0.6682692307692308,0.6190476190476191,0.6682692307692308,0.4615384615384615,0.8571428571428571,0.6,0.3466876226407682,ElasticNet,validation_score,data/gastric_cancer.csv,"['M8', 'M18', 'M32']"
6,0.6153846153846154,0.5644295932107659,0.1885946907920648,0.0188594690792064,,bootstrap,1,0.8076923076923077,0.7619047619047619,0.8076923076923077,1.0,0.6153846153846154,0.7619047619047619,0.6153846153846154,ElasticNet,validation_score,data/gastric_cancer.csv,"['M8', 'M18', 'M32']"
7,0.5272727272727272,0.5644295932107659,0.1885946907920648,0.0188594690792064,,bootstrap,1,0.7636363636363637,0.7619047619047619,0.7636363636363637,0.7272727272727273,0.8,0.7619047619047619,0.5272727272727272,ElasticNet,validation_score,data/gastric_cancer.csv,"['M8', 'M18', 'M32']"
8,0.7156264473321343,0.5644295932107659,0.1885946907920648,0.0188594690792064,,bootstrap,1,0.8611111111111112,0.8571428571428571,0.8611111111111112,0.8888888888888888,0.8,0.8421052631578947,0.7156264473321343,ElasticNet,validation_score,data/gastric_cancer.csv,"['M8', 'M18', 'M32']"
9,0.8257228238447705,0.5644295932107659,0.1885946907920648,0.0188594690792064,,bootstrap,1,0.9166666666666669,0.9047619047619048,0.9166666666666669,1.0,0.8181818181818182,0.9,0.8257228238447705,ElasticNet,validation_score,data/gastric_cancer.csv,"['M8', 'M18', 'M32']"
